Rank,Name,Link,Location_City,Location_State,Private_Public,Profit_Type,Campus_Setting,Starting_Salary,Percent_from_State,Percent_FTE,Percent_Male,Accept_rate,Old_SAT_Score,New_SAT_Score,ACT_Score,Num_Undergrad,Num_Faculty,Student_Faculty_Ratio,Num_Degree,Num_Major,Num_Field,Num_Annual_Grad,Percent_POC,Tuition_Fee,Room_Fee,Total_Cost,Financial_Aid
37,Wake Forest University,wake-forest-university,Winston-Salem, North Carolina,Private,Non-Profit,Midsize City,46000.0,22,75,46,27.6,,,,5102,797,11,42,35,18,1307,30.458643669149357,51400,13926,69130,42495
38,Swarthmore College,swarthmore-college,Swarthmore, Pennsylvania,Private,Non-Profit,Large Suburb,44000.0,10,87,50,10.7,,,32.0,1577,254,8,86,59,18,483,59.733671528218146,50822,14952,68846,46105
39,Davidson College,davidson-college,Davidson, North Carolina,Private,Non-Profit,Large Suburb,40000.0,21,98,51,20.2,,,32.0,1810,196,9,28,25,14,503,32.70718232044199,49949,13954,66678,36359
40,University of Southern California,university-of-southern-california,Los Angeles, California,Private,Non-Profit,Large City,48000.0,50,60,48,16.0,,,32.0,19170,3532,9,125,80,22,5229,60.73552425665102,54259,14886,72209,36686
41,Middlebury College,middlebury-college,Middlebury, Vermont,Private,Non-Profit,Small Town,46000.0,9,89,48,17.1,,,32.0,2549,351,8,49,37,16,806,36.7595135347195,52496,14968,69464,43491
42,Georgetown University,georgetown-university,Washington, District of Columbia,Private,Non-Profit,Large City,50000.0,1,47,44,15.7,,,32.0,7463,2191,11,56,44,16,2228,47.192817901648134,52300,15434,71580,41893
43,Lehigh University,lehigh-university,Bethlehem, Pennsylvania,Private,Non-Profit,Small City,52000.0,26,84,55,25.2,,,30.0,5075,642,9,73,63,19,1354,36.35467980295567,50740,13120,65925,36014
44,Wellesley College,wellesley-college,Wellesley, Massachusetts,Private,Non-Profit,Large Suburb,39000.0,12,83,2,22.1,,,32.0,2508,394,7,52,37,15,717,62.63955342902711,51148,15836,69034,45777
45,University of Rochester,university-of-rochester,Rochester, New York,Private,Non-Profit,Midsize City,45000.0,38,93,50,34.2,,,31.0,6546,809,10,79,60,21,2049,55.20928811487932,52020,15398,70108,30658
46,Worcester Polytechnic Institute,worcester-polytechnic-institute,Worcester, Massachusetts,Private,Non-Profit,Midsize City,59000.0,45,83,64,48.5,,,,4435,478,13,34,33,12,1126,37.67756482525366,48628,14218,65046,19515
47,Carleton College,carleton-college,Northfield, Minnesota,Private,Non-Profit,Small Town,40000.0,15,84,49,21.2,,,32.0,2078,294,9,58,38,15,558,39.79788257940328,52782,13632,68835,38342
48,Lafayette College,lafayette-college,Easton, Pennsylvania,Private,Non-Profit,Large Suburb,46000.0,18,82,48,30.8,,,30.0,2594,302,10,40,32,15,734,34.46414803392443,50850,15040,67890,39957
49,University of California - Los Angeles,university-of-california-los-angeles,Los Angeles, California,Public,,Large City,46000.0,86,69,43,16.1,,,32.0,31002,2691,18,108,66,19,8930,73.29849687116959,13261,15441,33901,20011
50,University of North Carolina at Chapel Hill,university-of-north-carolina-at-chapel-hill,Chapel Hill, North Carolina,Public,,Small City,39000.0,85,77,41,24.4,,,30.0,18862,2162,13,138,84,26,5811,38.03944438553706,9005,11556,25569,17291
51,Case Western Reserve University,case-western-reserve-university,Cleveland, Ohio,Private,Non-Profit,Large City,49000.0,29,77,55,33.1,,,32.0,5150,999,11,69,59,21,1459,50.97087378640778,47500,14784,65384,28295
52,Tufts University,tufts-university,Medford, Massachusetts,Private,Non-Profit,Large Suburb,45000.0,22,68,49,14.9,,,32.0,5541,1200,9,72,56,18,1783,43.63833243096914,54318,14054,70600,38605
53,Rose - Hulman Institute of Technology,rose-hulman-institute-of-technology,Terre Haute, Indiana,Private,Non-Profit,Small City,,34,93,75,60.9,,,30.0,2168,199,11,21,19,7,589,33.02583025830258,45762,14061,62781,20967
54,Wesleyan University,wesleyan-university,Middletown, Connecticut,Private,Non-Profit,Small City,42000.0,8,88,46,16.3,,,,2976,421,8,48,36,15,1068,46.774193548387096,52504,14466,69635,43276
55,Union College New York,union-college-new-york,Schenectady, New York,Private,Non-Profit,Small City,44000.0,34,92,54,37.4,,,,2267,238,10,44,37,16,536,29.333921482134986,53490,13119,68610,29135
56,Boston University,boston-university,Boston, Massachusetts,Private,Non-Profit,Large City,44000.0,22,69,40,25.1,,,30.0,18080,2673,10,123,72,22,4433,60.801991150442475,52082,15270,70302,34156
57,Rensselaer Polytechnic Institute,rensselaer-polytechnic-institute,Troy, New York,Private,Non-Profit,Small City,55000.0,33,89,68,43.2,,,30.0,6366,504,13,49,44,17,1451,46.9368520263902,52305,14960,70132,30596
58,Boston College,boston-college,Chestnut Hill, Massachusetts,Private,Non-Profit,Small City,47000.0,25,57,47,32.4,,,32.0,9921,1463,13,56,44,20,3160,40.026207035581095,53346,14142,70588,40716
59,Bentley University,bentley-university,Waltham, Massachusetts,Private,Non-Profit,Small City,49000.0,42,65,59,44.2,,,29.0,4272,450,11,24,23,13,1175,39.37265917602997,48000,15720,66180,26565
60,University of Richmond,university-of-richmond,University of Richmond, Virginia,Private,Non-Profit,Midsize City,42000.0,18,67,46,33.0,,,30.0,3265,613,8,61,42,21,1017,43.39969372128636,50910,11820,64890,38394
61,College of William and Mary,college-of-william-and-mary,Williamsburg, Virginia,Public,,Small Suburb,42000.0,67,79,42,35.9,,,31.0,6285,888,11,31,28,16,1965,40.60461416070008,20287,11799,35629,18738
61,College of William and Mary,college-of-william-and-mary,Williamsburg, Virginia,Public,,Small Suburb,42000.0,67,79,42,35.9,,,31.0,6285,888,11,31,28,16,1965,40.60461416070008,20287,11799,35629,18738
62,St Louis College of Pharmacy,st-louis-college-of-pharmacy,Saint Louis, Missouri,Private,Non-Profit,Large City,,57,100,41,72.0,,,26.0,448,81,9,3,3,3,31,41.07142857142857,29451,11572,46261,13493
63,Franklin and Marshall College,franklin-and-marshall-college,Lancaster, Pennsylvania,Private,Non-Profit,Small City,43000.0,24,89,46,34.1,,,,2283,303,9,42,35,16,646,43.27639071397285,54370,13580,70420,43377
64,Bates College,bates-college,Lewiston, Maine,Private,Non-Profit,Small City,41000.0,9,88,49,21.9,,,,1787,201,10,39,32,15,574,29.546726357022948,52042,14678,68870,43238
