Link,Name,Rank
the-college-of-saint-rose,The College of Saint Rose,669
university-of-maine,University of Maine,670
university-of-north-texas,University of North Texas,671
hood-college,Hood College,672
manhattan-school-of-music,Manhattan School of Music,673
west-coast-university-ontario,West Coast University - Ontario,674
university-of-wisconsin-platteville,University of Wisconsin - Platteville,675
utah-state-university,Utah State University,676
randolph-college,Randolph College,677
stevenson-university,Stevenson University,678
fitchburg-state-university,Fitchburg State University,679
cuny-brooklyn-college,CUNY Brooklyn College,680
martin-luther-college,Martin Luther College,681
new-college-of-florida,New College of Florida,682
farmingdale-state-college,Farmingdale State College,683
college-of-our-lady-of-the-elms,College of Our Lady of the Elms,684
mount-vernon-nazarene-university,Mount Vernon Nazarene University,685
tennessee-technological-university,Tennessee Technological University,686
benedictine-college,Benedictine College,687
cottey-college,Cottey College,688
pennsylvania-state-university-penn-state-greater-allegheny,Pennsylvania State University - Greater Allegheny,689
pennsylvania-state-university-penn-state-lehigh-valley,Pennsylvania State University - Lehigh Valley,690
mount-mercy-university,Mount Mercy University,691
central-connecticut-state-university,Central Connecticut State University,692
walsh-university,Walsh University,693
san-francisco-state-university,San Francisco State University,694
westminster-college-missouri,Westminster College Missouri,695
ursuline-college,Ursuline College,696
old-dominion-university,Old Dominion University,697
chamberlain-college-of-nursing-arizona,Chamberlain University - Arizona,698
aultman-college-of-nursing-and-health-sciences,Aultman College of Nursing and Health Sciences,699
hollins-university,Hollins University,700
otis-college-of-art-and-design,Otis College of Art and Design,701
montana-state-university,Montana State University,702
concordia-university-wisconsin,Concordia University - Wisconsin,703
minneapolis-college-of-art-and-design,Minneapolis College of Art and Design,704
northwest-university,Northwest University,705
cleveland-institute-of-art,Cleveland Institute of Art,706
millersville-university-of-pennsylvania,Millersville University of Pennsylvania,707
pennsylvania-state-university-penn-state-mont-alto,Pennsylvania State University - Mont Alto,708
northern-illinois-university,Northern Illinois University,709
keene-state-college,Keene State College,710
pennsylvania-college-of-technology,Pennsylvania College of Technology,711
baker-university,Baker University,712
college-of-saint-mary,College of Saint Mary,713
california-state-university-san-marcos,California State University - San Marcos,714
university-of-the-incarnate-word,University of the Incarnate Word,715
bethany-lutheran-college,Bethany Lutheran College,716
university-of-north-carolina-at-asheville,University of North Carolina at Asheville,717
sacred-heart-major-seminary,Sacred Heart Major Seminary,718
holy-names-university,Holy Names University,719
wingate-university,Wingate University,720
georgia-state-university,Georgia State University,721
immaculata-university,Immaculata University,722
bob-jones-university,Bob Jones University,723
elmira-college,Elmira College,724
union-college-nebraska,Union College Nebraska,725
the-masters-college-and-seminary,The Master's College and Seminary,726
benedictine-university,Benedictine University,727
college-of-the-ozarks,College of the Ozarks,728
the-christ-college-of-nursing-and-health-sciences,The Christ College of Nursing and Health Sciences,729
saint-marys-university-of-minnesota,Saint Mary's University of Minnesota,730
california-state-university-sacramento,California State University - Sacramento,731
ferris-state-university,Ferris State University,732
gwynedd-mercy-college,Gwynedd Mercy University,733
cedar-crest-college,Cedar Crest College,734
hampton-university,Hampton University,735
jamestown-college,University of Jamestown,736
john-paul-the-great-catholic-university,John Paul the Great Catholic University,737
university-of-toledo,University of Toledo,738
berklee-college-of-music,Berklee College of Music,739
oakland-university,Oakland University,740
millikin-university,Millikin University,741
university-of-wisconsin-whitewater,University of Wisconsin - Whitewater,742
radford-university,Radford University,743
pennsylvania-state-university-penn-state-fayette-eberly-campus,Pennsylvania State University - Fayette - Eberly Campus,744
the-university-of-texas-at-arlington,The University of Texas at Arlington,745
menlo-college,Menlo College,746
university-of-wisconsin-stevens-point,University of Wisconsin - Stevens Point,747
trine-university,Trine University,748
pennsylvania-state-university-penn-state-abington,Pennsylvania State University - Abington,749
palm-beach-atlantic-university-west-palm-beach,Palm Beach Atlantic University,750
olivet-nazarene-university,Olivet Nazarene University,751
university-of-wisconsin-oshkosh,University of Wisconsin - Oshkosh,752
florida-atlantic-university,Florida Atlantic University,753
sonoma-state-university,Sonoma State University,754
western-illinois-university,Western Illinois University,755
university-of-south-florida-st-petersburg-campus,University of South Florida - St. Petersburg,756
seton-hill-university,Seton Hill University,757
our-lady-of-the-lake-college,Franciscan Missionaries of Our Lady University,758
geneva-college,Geneva College,759
shippensburg-university-of-pennsylvania,Shippensburg University of Pennsylvania,760
adventist-university-of-health-sciences,Adventist University of Health Sciences,761
northwestern-college-minnesota,University of Northwestern - St Paul,762
alfred-university,Alfred University,763
lesley-university,Lesley University,764
montana-tech-of-the-university-of-montana,Montana Tech of the University of Montana,765
concordia-university-irvine,Concordia University - Irvine,766
saint-josephs-college-of-maine,Saint Joseph's College of Maine,767
asbury-university,Asbury University,768
the-university-of-texas-at-tyler,The University of Texas at Tyler,769
louisiana-tech-university,Louisiana Tech University,770
regis-college,Regis College,771
ohio-state-university-mansfield-campus,Ohio State University - Mansfield Campus,772
regent-university,Regent University,773
southern-illinois-university-carbondale,Southern Illinois University Carbondale,774
university-of-minnesota-crookston,University of Minnesota - Crookston,775
university-of-indianapolis,University of Indianapolis,776
mississippi-college,Mississippi College,777
university-of-wisconsin-stout,University of Wisconsin - Stout,778
the-kings-college,The King's College,779
monmouth-college,Monmouth College,780
sam-houston-state-university,Sam Houston State University,781
albright-college,Albright College,782
william-paterson-university-of-new-jersey,William Paterson University of New Jersey,783
university-of-pittsburgh-greensburg,University of Pittsburgh - Greensburg,784
morehouse-college,Morehouse College,785
spring-hill-college,Spring Hill College,786
university-of-north-carolina-at-greensboro,University of North Carolina at Greensboro,787
minnesota-state-university-mankato,Minnesota State University - Mankato,788
university-of-michigan-flint,University of Michigan - Flint,789
fontbonne-university,Fontbonne University,790
manhattanville-college,Manhattanville College,791
manchester-college,Manchester University,792
la-sierra-university,La Sierra University,793
northwest-nazarene-university,Northwest Nazarene University,794
hardin-simmons-university,Hardin - Simmons University,795
university-of-mary-hardin-baylor,University of Mary Hardin - Baylor,796
ashland-university,Ashland University,797
southern-adventist-university,Southern Adventist University,798
viterbo-university,Viterbo University,799
winthrop-university,Winthrop University,800
university-of-northern-colorado,University of Northern Colorado,801
western-carolina-university,Western Carolina University,802
chamberlain-college-of-nursing-ohio,Chamberlain University - Ohio,803
wheeling-jesuit-university,Wheeling Jesuit University,804
central-washington-university,Central Washington University,805
suny-at-purchase-college,Purchase College,806
kutztown-university-of-pennsylvania,Kutztown University of Pennsylvania,807
southern-connecticut-state-university,Southern Connecticut State University,808
georgia-southern-university,Georgia Southern University,809
christian-brothers-university,Christian Brothers University,810
carlow-university,Carlow University,811
framingham-state-university,Framingham State University,812
curry-college,Curry College,813
university-of-nevada-las-vegas,University of Nevada - Las Vegas,814
eastern-connecticut-state-university,Eastern Connecticut State University,815
trevecca-nazarene-university,Trevecca Nazarene University,816
portland-state-university,Portland State University,817
woodbury-university,Woodbury University,818
bridgewater-state-university,Bridgewater State University,819
bethel-college-mishawaka,Bethel College - Mishawaka,820
pennsylvania-state-university-brandywine,Pennsylvania State University - Brandywine,821
pennsylvania-state-university-penn-state-schuylkill,Pennsylvania State University - Schuylkill,822
california-state-university-fresno,California State University - Fresno,823
eastern-washington-university,Eastern Washington University,824
brigham-young-university-hawaii,Brigham Young University - Hawaii,825
ohio-state-university-marion-campus,Ohio State University - Marion Campus,826
city-university-of-seattle,City University of Seattle,827
houston-baptist-university,Houston Baptist University,828
california-state-university-monterey-bay,California State University - Monterey Bay,829
north-park-university,North Park University,830
missouri-state-university-springfield,Missouri State University - Springfield,831
colby-sawyer-college,Colby - Sawyer College,832
indiana-university-of-pennsylvania-main-campus,Indiana University of Pennsylvania - Main Campus,833
university-of-nebraska-at-omaha,University of Nebraska at Omaha,834
spring-arbor-university,Spring Arbor University,835
wesleyan-college,Wesleyan College,836
walden-university,Walden University,837
vanguard-university-of-southern-california,Vanguard University of Southern California,838
texas-lutheran-university,Texas Lutheran University,839
college-of-mount-saint-vincent,College of Mount Saint Vincent,840
madonna-university,Madonna University,841
notre-dame-de-namur-university,Notre Dame de Namur University,842
florida-gulf-coast-university,Florida Gulf Coast University,843
pennsylvania-state-university-penn-state-worthington-scranton,Pennsylvania State University - Worthington Scranton,844
bridgewater-college,Bridgewater College,845
fidm-fashion-institute-of-design-and-merchandising-san-francisco,FIDM/Fashion Institute of Design & Merchandising - San Francisco,846
holy-family-university,Holy Family University,847
california-state-university-san-bernardino,California State University - San Bernardino,848
kent-state-university-at-kent,Kent State University at Kent,849
wichita-state-university,Wichita State University,850
lock-haven-university,Lock Haven University,851
lincoln-memorial-university,Lincoln Memorial University,852
capitol-college,Capitol Technology University,853
midwestern-state-university,Midwestern State University,854
brigham-young-university-idaho,Brigham Young University - Idaho,855
bowling-green-state-university-main-campus,Bowling Green State University - Main Campus,856
salem-state-university,Salem State University,857
eastern-international-college-belleville,Eastern International College - Belleville,858
minnesota-state-university-moorhead,Minnesota State University - Moorhead,859
saint-peters-college,Saint Peter's University,860
concordia-university-seward,Concordia University - Nebraska,861
chamberlain-college-of-nursing-illinois,Chamberlain University - Illinois,862
william-jessup-university,William Jessup University,863
eastern-university,Eastern University,864
the-university-of-texas-at-san-antonio,The University of Texas at San Antonio,865
faith-baptist-bible-college-and-theological-seminary,Faith Baptist Bible College and Theological Seminary,866
university-of-saint-francis-fort-wayne,University of Saint Francis - Fort Wayne,867
oral-roberts-university,Oral Roberts University,868
long-island-university-brooklyn-campus,LIU Brooklyn,869
converse-college,Converse College,870
emory-and-henry-college,Emory and Henry College,871
lubbock-christian-university,Lubbock Christian University,872
grace-college-and-theological-seminary,Grace College and Theological Seminary,873
chamberlain-college-of-nursing-florida,Chamberlain University - Florida,874
florida-college,Florida College,875
university-of-baltimore,University of Baltimore,876
huntington-university,Huntington University,877
university-of-wisconsin-milwaukee,University of Wisconsin - Milwaukee,878
oklahoma-christian-university,Oklahoma Christian University,879
northwood-university-michigan,Northwood University,880
university-of-new-mexico-main-campus,University of New Mexico - Main Campus,881
mckendree-university,McKendree University,882
touro-college,Touro College,883
oklahoma-baptist-university,Oklahoma Baptist University,884
the-restaurant-school-at-walnut-hill-college,The Restaurant School at Walnut Hill College,885
hiram-college,Hiram College,886
ohio-state-university-lima-campus,Ohio State University - Lima Campus,887
hastings-college,Hastings College,888
piedmont-college,Piedmont College,889
keuka-college,Keuka College,890
fidm-fashion-institute-of-design-and-merchandising-los-angeles,FIDM/Fashion Institute of Design & Merchandising - Los Angeles,891
suny-college-at-potsdam,SUNY Potsdam,892
murray-state-university,Murray State University,893
oglethorpe-university,Oglethorpe University,894
pennsylvania-state-university-world-campus,Pennsylvania State University - World Campus,895
judson-university,Judson University,896
northland-college,Northland College,897
kennesaw-state-university,Kennesaw State University,898
college-of-mount-st-joseph,Mount St. Joseph University,899
emmaus-bible-college,Emmaus Bible College,900
alvernia-university,Alvernia University,901
california-state-university-stanislaus,California State University - Stanislaus,902
northern-arizona-university,Northern Arizona University,903
newman-university,Newman University,904
university-of-wisconsin-river-falls,University of Wisconsin - River Falls,905
morningside-college,Morningside College,906
freed-hardeman-university,Freed - Hardeman University,907
lindenwood-university,Lindenwood University,908
saint-xavier-university,Saint Xavier University,909
florida-agricultural-and-mechanical-university,Florida Agricultural and Mechanical University,910
university-of-sioux-falls,University of Sioux Falls,911
centenary-college,Centenary University,912
columbus-college-of-art-and-design,Columbus College of Art and Design,913
massachusetts-college-of-liberal-arts,Massachusetts College of Liberal Arts,914
thomas-more-college,Thomas More College,915
california-university-of-pennsylvania,California University of Pennsylvania,916
lyon-college,Lyon College,917
vermont-technical-college,Vermont Technical College,918
university-of-louisiana-lafayette,University of Louisiana at Lafayette,919
university-of-colorado-at-colorado-springs,University of Colorado at Colorado Springs,920
stephens-college,Stephens College,921
maryville-college,Maryville College,922
william-carey-university,William Carey University,923
university-of-memphis,University of Memphis,924
california-state-university-northridge,California State University - Northridge,925
salem-college,Salem College,926
saint-cloud-state-university,Saint Cloud State University,927
rocky-mountain-college,Rocky Mountain College,928
flagler-college-st-augustine,Flagler College - St Augustine,929
alaska-pacific-university,Alaska Pacific University,930
muskingum-university,Muskingum University,931
malone-university,Malone University,932
bryn-athyn-college-of-the-new-church,Bryn Athyn College of the New Church,933
fairleigh-dickinson-university-metropolitan-campus,Fairleigh Dickinson University - Metropolitan Campus,934
spalding-university,Spalding University,935
point-park-university,Point Park University,936
buena-vista-university,Buena Vista University,937
saint-thomas-university,St. Thomas University,938
johnson-and-wales-university-charlotte,Johnson & Wales University - Charlotte,939
utica-college,Utica College,940
central-methodist-university-college-of-liberal-arts-and-sciences,Central Methodist University - College of Liberal Arts & Sciences,941
the-university-of-texas-pan-american,The University of Texas Rio Grande Valley,942
bemidji-state-university,Bemidji State University,943
boise-state-university,Boise State University,944
caldwell-college,Caldwell University,945
west-virginia-wesleyan-college,West Virginia Wesleyan College,946
the-university-of-texas-of-the-permian-basin,The University of Texas of the Permian Basin,947
the-university-of-tennessee-at-chattanooga,The University of Tennessee - Chattanooga,948
delaware-valley-college,Delaware Valley University,949
university-of-wisconsin-green-bay,University of Wisconsin - Green Bay,950
cardinal-stritch-university,Cardinal Stritch University,951
western-connecticut-state-university,Western Connecticut State University,952
husson-university,Husson University,953
national-louis-university,National Louis University,954
california-state-university-east-bay,California State University - East Bay,955
fresno-pacific-university,Fresno Pacific University,956
aurora-university,Aurora University,957
rivier-college,Rivier University,958
university-of-south-alabama,University of South Alabama,959
cuny-john-jay-college-of-criminal-justice,CUNY John Jay College of Criminal Justice,960
suny-college-at-old-westbury,SUNY Old Westbury,961
vaughn-college-of-aeronautics-and-technology,Vaughn College of Aeronautics and Technology,962
king-college,King University,963
aquinas-college-michigan,Aquinas College Michigan,964
southwestern-adventist-university,Southwestern Adventist University,965
saint-thomas-aquinas-college,St. Thomas Aquinas College,966
expression-college-for-digital-arts,SAE Expression College,967
northwest-missouri-state-university,Northwest Missouri State University,968
kansas-city-art-institute,Kansas City Art Institute,969
cuny-lehman-college,CUNY Lehman College,970
cleveland-state-university,Cleveland State University,971
anderson-university-indiana,Anderson University Indiana,972
johnson-and-wales-university-denver,Johnson & Wales University - Denver,973
wright-state-university-main-campus,Wright State University - Main Campus,974
virginia-wesleyan-college,Virginia Wesleyan University,975
trinity-international-university-illinois,Trinity International University - Illinois,976
texas-womans-university,Texas Woman's University,977
coastal-carolina-university,Coastal Carolina University,978
midamerica-nazarene-university,MidAmerica Nazarene University,979
cabrini-college,Cabrini University,980
gardner-webb-university,Gardner - Webb University,981
brenau-university,Brenau University,982
pittsburg-state-university,Pittsburg State University,983
lasell-college,Lasell College,984
clarion-university-of-pennsylvania,Clarion University of Pennsylvania,985
hawaii-pacific-university,Hawaii Pacific University,986
middle-tennessee-state-university,Middle Tennessee State University,987
william-woods-university,William Woods University,988
ohio-state-university-newark-campus,Ohio State University - Newark Campus,989
the-university-of-west-florida,The University of West Florida,990
southern-utah-university,Southern Utah University,991
university-of-alaska-fairbanks,University of Alaska Fairbanks,992
concordia-university-chicago,Concordia University - Chicago,993
california-state-university-bakersfield,California State University - Bakersfield,994
oklahoma-wesleyan-university,Oklahoma Wesleyan University,995
university-of-montevallo,University of Montevallo,996
georgetown-college,Georgetown College,997
barry-university,Barry University,998
pennsylvania-state-university-penn-state-shenango,Pennsylvania State University - Shenango,999
university-of-louisiana-monroe,University of Louisiana at Monroe,1000
laguna-college-of-art-and-design,Laguna College of Art and Design,1001
concordia-university-saint-paul,Concordia University - Saint Paul,1002
johnson-university,Johnson University,1003
eastern-international-college-jersey-city,Eastern International College - Jersey City,1004
the-university-of-montana,The University of Montana,1005
cazenovia-college,Cazenovia College,1006
warren-wilson-college,Warren Wilson College,1007
bay-path-college,Bay Path University,1008
mansfield-university-of-pennsylvania,Mansfield University of Pennsylvania,1009
plymouth-state-university,Plymouth State University,1010
roosevelt-university,Roosevelt University,1011
national-university,National University,1012
felician-college,Felician University,1013
suny-college-of-technology-at-alfred,Alfred State College,1014
american-academy-of-art,American Academy of Art,1015
university-of-central-missouri,University of Central Missouri,1016
dickinson-state-university,Dickinson State University,1017
the-university-of-tennessee-martin,The University of Tennessee - Martin,1018
east-tennessee-state-university,East Tennessee State University,1019
kean-university,Kean University,1020
cornish-college-of-the-arts,Cornish College of the Arts,1021
dominican-college-of-blauvelt,Dominican College of Blauvelt,1022
schreiner-university,Schreiner University,1023
california-state-university-los-angeles,California State University - Los Angeles,1024
texas-wesleyan-university,Texas Wesleyan University,1025
lincoln-christian-university,Lincoln Christian University,1026
albertus-magnus-college,Albertus Magnus College,1027
our-lady-of-holy-cross-college,University of Holy Cross,1028
east-stroudsburg-university-of-pennsylvania,East Stroudsburg University of Pennsylvania,1029
mercy-college-of-health-sciences,Mercy College of Health Sciences,1030
anderson-university-sc,Anderson University South Carolina,1031
averett-university,Averett University,1032
johnson-and-wales-university-providence,Johnson & Wales University - Providence,1033
adrian-college,Adrian College,1034
university-of-southern-mississippi,University of Southern Mississippi,1035
west-texas-a-and-m-university,West Texas A&M University,1036
the-university-of-the-arts,The University of the Arts,1037
grand-view-university,Grand View University,1038
marshall-university,Marshall University,1039
stephen-f-austin-state-university,Stephen F Austin State University,1040
dakota-state-university,Dakota State University,1041
southern-nazarene-university,Southern Nazarene University,1042
idaho-state-university,Idaho State University,1043
lakeland-college,Lakeland University,1044
lake-superior-state-university,Lake Superior State University,1045
university-of-hawaii-at-hilo,University of Hawaii at Hilo,1046
wright-state-university-lake-campus,Wright State University - Lake Campus,1047
west-virginia-university-institute-of-technology,West Virginia University Institute of Technology,1048
american-public-university-system,American Public University System,1049
chaminade-university-of-honolulu,Chaminade University of Honolulu,1050
nichols-college,Nichols College,1051
arizona-state-university-skysong,Arizona State University - Skysong,1052
frostburg-state-university,Frostburg State University,1053
tarleton-state-university,Tarleton State University,1054
northern-michigan-university,Northern Michigan University,1055
university-of-akron-main-campus,University of Akron Main Campus,1056
chestnut-hill-college,Chestnut Hill College,1057
university-of-north-alabama,University of North Alabama,1058
university-of-central-arkansas,University of Central Arkansas,1059
minot-state-university,Minot State University,1060
corban-university,Corban University,1061
southeast-missouri-state-university,Southeast Missouri State University,1062
texas-a-and-m-university-kingsville,Texas A&M University - Kingsville,1063
herzing-university-brookfield,Herzing University - Brookfield,1064
emporia-state-university,Emporia State University,1065
wilmington-college,Wilmington College,1066
lagrange-college,LaGrange College,1067
gallaudet-university,Gallaudet University,1068
neumann-university,Neumann University,1069
bluffton-university,Bluffton University,1070
academy-of-art-university,Academy of Art University,1071
ave-maria-university,Ave Maria University,1072
salish-kootenai-college,Salish Kootenai College,1073
heidelberg-university,Heidelberg University,1074
marymount-manhattan-college,Marymount Manhattan College,1075
saint-leo-university,Saint Leo University,1076
university-of-alaska-anchorage,University of Alaska Anchorage,1077
drury-university,Drury University,1078
evangel-university,Evangel University,1079
university-of-saint-mary,University of Saint Mary,1080
lynn-university,Lynn University,1081
moore-college-of-art-and-design,Moore College of Art and Design,1082
marian-university-wisconsin,Marian University,1083
concordia-college-new-york,Concordia College - New York,1084
the-evergreen-state-college,The Evergreen State College,1085
pfeiffer-university,Pfeiffer University,1086
northern-kentucky-university,Northern Kentucky University,1087
mount-mary-college,Mount Mary University,1088
becker-college,Becker College,1089
wells-college,Wells College,1090
suny-college-at-buffalo,Buffalo State,1091
saginaw-valley-state-university,Saginaw Valley State University,1092
north-greenville-university,North Greenville University,1093
chamberlain-college-of-nursing-missouri,Chamberlain University - Missouri,1094
lee-university,Lee University,1095
metropolitan-state-university,Metropolitan State University,1096
avila-university,Avila University,1097
friends-university,Friends University,1098
embry-riddle-aeronautical-university-worldwide,Embry - Riddle Aeronautical University - Worldwide,1099
eastern-michigan-university,Eastern Michigan University,1100
arkansas-state-university-main-campus,Arkansas State University - Main Campus,1101
washington-adventist-university,Washington Adventist University,1102
simpson-university,Simpson University,1103
college-of-saint-elizabeth,College of Saint Elizabeth,1104
washburn-university,Washburn University,1105
cornerstone-university,Cornerstone University,1106
winston-salem-state-university,Winston - Salem State University,1107
wayne-state-college,Wayne State College,1108
columbia-international-university,Columbia International University,1109
lenoir-rhyne-university,Lenoir - Rhyne University,1110
siena-heights-university,Siena Heights University,1111
guilford-college,Guilford College,1112
concordia-university-portland,Concordia University - Portland,1113
newschool-of-architecture-and-design,Newschool of Architecture and Design,1114
johnson-and-wales-university-florida,Johnson & Wales University - North Miami,1115
the-university-of-texas-at-el-paso,The University of Texas at El Paso,1116
unity-college,Unity College,1117
castleton-state-college,Castleton University,1118
tuskegee-university,Tuskegee University,1119
louisiana-college,Louisiana College,1120
valley-city-state-university,Valley City State University,1121
texas-a-and-m-international-university,Texas A&M International University,1122
rhode-island-college,Rhode Island College,1123
bryan-college-dayton,Bryan College - Dayton,1124
governors-state-university,Governors State University,1125
mount-marty-college,Mount Marty College,1126
union-institute-and-university,Union Institute & University,1127
la-roche-college,La Roche College,1128
university-of-southern-maine,University of Southern Maine,1129
hilbert-college,Hilbert College,1130
st-francis-college,St. Francis College,1131
the-university-of-virginias-college-at-wise,The University of Virginia's College at Wise,1132
western-state-college-of-colorado,Western Colorado University,1133
graceland-university-lamoni,Graceland University - Lamoni,1134
cleary-university,Cleary University,1135
southwest-minnesota-state-university,Southwest Minnesota State University,1136
francis-marion-university,Francis Marion University,1137
north-carolina-a-and-t-state-university,North Carolina A & T State University,1138
new-jersey-city-university,New Jersey City University,1139
edinboro-university-of-pennsylvania,Edinboro University of Pennsylvania,1140
university-of-south-carolina-upstate,University of South Carolina - Upstate,1141
new-mexico-state-university-main-campus,New Mexico State University - Main Campus,1142
western-oregon-university,Western Oregon University,1143
fort-hays-state-university,Fort Hays State University,1144
california-state-university-dominguez-hills,California State University - Dominguez Hills,1145
franklin-pierce-university,Franklin Pierce University,1146
university-of-new-orleans,University of New Orleans,1147
american-musical-and-dramatic-academy,American Musical and Dramatic Academy,1148
north-carolina-central-university,North Carolina Central University,1149
cuny-college-of-staten-island,College of Staten Island CUNY,1150
ohio-dominican-university,Ohio Dominican University,1151
university-of-charleston,University of Charleston,1152
weber-state-university,Weber State University,1153
maranatha-baptist-bible-college,Maranatha Baptist University,1154
university-of-maine-at-farmington,University of Maine at Farmington,1155
liberty-university,Liberty University,1156
concordia-university-texas,Concordia University - Texas,1157
philadelphia-biblical-university-langhorne,Cairn University,1158
nicholls-state-university,Nicholls State University,1159
university-of-houston-downtown,University of Houston - Downtown,1160
midway-college,Midway University,1161
erskine-college-and-seminary,Erskine College,1162
fisk-university,Fisk University,1163
saint-mary-of-the-woods-college,Saint Mary - of - the - Woods College,1164
southwestern-college,Southwestern College,1165
columbia-college-south-carolina,Columbia College,1166
texas-a-and-m-university-commerce,Texas A&M University - Commerce,1167
st-vincents-college,St Vincent's College,1168
catawba-college,Catawba College,1169
humboldt-state-university,Humboldt State University,1170
texas-a-and-m-university-corpus-christi,Texas A&M University - Corpus Christi,1171
northwest-christian-university,Northwest Christian University,1172
university-of-north-georgia,University of North Georgia,1173
university-of-north-texas-at-dallas,University of North Texas at Dallas,1174
lim-college,LIM College,1175
georgian-court-university,Georgian Court University,1176
keiser-university-ft-lauderdale,Keiser University - Ft Lauderdale,1177
barton-college,Barton College,1178
eastern-kentucky-university,Eastern Kentucky University,1179
purdue-university-northwest,Purdue University Northwest,1180
claflin-university,Claflin University,1181
briar-cliff-university,Briar Cliff University,1182
greenville-college,Greenville University,1183
western-kentucky-university,Western Kentucky University,1184
mcpherson-college,McPherson College,1185
northern-state-university,Northern State University,1186
thiel-college,Thiel College,1187
bethel-college-north-newton,Bethel College - North Newton,1188
southwestern-oklahoma-state-university,Southwestern Oklahoma State University,1189
university-of-southern-indiana,University of Southern Indiana,1190
texas-a-and-m-university-texarkana,Texas A&M University - Texarkana,1191
southern-wesleyan-university,Southern Wesleyan University,1192
southeastern-louisiana-university,Southeastern Louisiana University,1193
alice-lloyd-college,Alice Lloyd College,1194
university-of-hawaii-west-oahu,University of Hawaii - West Oahu,1195
lamar-university,Lamar University,1196
chadron-state-college,Chadron State College,1197
university-of-arkansas-at-little-rock,University of Arkansas at Little Rock,1198
mary-baldwin-college,Mary Baldwin University,1199
hobe-sound-bible-college,Hobe Sound Bible College,1200
suny-college-of-technology-at-delhi,SUNY Delhi,1201
bethany-college-west-virginia,Bethany College West Virginia,1202
warner-pacific-college,Warner Pacific College,1203
silver-lake-college,Silver Lake College of the Holy Family,1204
rockford-college,Rockford University,1205
bowie-state-university,Bowie State University,1206
university-of-central-oklahoma,University of Central Oklahoma,1207
university-of-wisconsin-superior,University of Wisconsin - Superior,1208
wheelock-college,Boston University Wheelock College of Education and Human Development,1209
cogswell-polytechnical-college,Cogswell College,1210
paul-smiths-college-of-arts-and-science,Paul Smiths College of Arts and Science,1211
alverno-college,Alverno College,1212
shepherd-university,Shepherd University,1213
peirce-college,Peirce College,1214
dakota-wesleyan-university,Dakota Wesleyan University,1215
grand-canyon-university,Grand Canyon University,1216
university-of-houston-victoria,University of Houston - Victoria,1217
utah-valley-university,Utah Valley University,1218
boston-architectural-college,Boston Architectural College,1219
mcmurry-university,McMurry University,1220
oakland-city-university,Oakland City University,1221
mcneese-state-university,McNeese State University,1222
prescott-college,Prescott College,1223
university-of-south-carolina-aiken,University of South Carolina - Aiken,1224
maharishi-university-of-management,Maharishi University of Management,1225
ottawa-university-ottawa,Ottawa University - Ottawa,1226
eureka-college,Eureka College,1227
ozark-christian-college,Ozark Christian College,1228
wilson-college,Wilson College,1229
university-of-the-ozarks,University of the Ozarks,1230
goldey-beacom-college,Goldey - Beacom College,1231
bellevue-university,Bellevue University,1232
university-of-bridgeport,University of Bridgeport,1233
carson-newman-college,Carson - Newman University,1234
watkins-college-of-art-design-and-film,Watkins College of Art Design & Film,1235
nyack-college,Nyack College,1236
southern-california-institute-of-technology,Southern California Institute of Technology,1237
brookline-college-albuquerque,Brookline College - Albuquerque,1238
our-lady-of-the-lake-university-san-antonio,Our Lady of the Lake University,1239
eastern-nazarene-college,Eastern Nazarene College,1240
southern-virginia-university,Southern Virginia University,1241
lancaster-bible-college,Lancaster Bible College,1242
university-of-west-georgia,University of West Georgia,1243
cox-college,Cox College,1244
methodist-university,Methodist University,1245
milwaukee-institute-of-art-and-design,Milwaukee Institute of Art & Design,1246
charleston-southern-university,Charleston Southern University,1247
midland-university,Midland University,1248
fort-lewis-college,Fort Lewis College,1249
cumberland-university,Cumberland University,1250
kings-university,The King's University,1251
armstrong-atlantic-state-university,Armstrong State University,1252
montserrat-college-of-art,Montserrat College of Art,1253
angelo-state-university,Angelo State University,1254
young-harris-college,Young Harris College,1255
southern-oregon-university,Southern Oregon University,1256
herzing-university-winter-park,Herzing University - Winter Park,1257
indiana-state-university,Indiana State University,1258
north-central-university,North Central University,1259
eastern-oregon-university,Eastern Oregon University,1260
appalachian-bible-college,Appalachian Bible College,1261
tabor-college,Tabor College,1262
valdosta-state-university,Valdosta State University,1263
hope-international-university,Hope International University,1264
american-international-college,American International College,1265
youngstown-state-university,Youngstown State University,1266
williams-baptist-college,Williams Baptist College,1267
azusa-pacific-university-college,Azusa Pacific University College,1268
nevada-state-college,Nevada State College,1269
northwestern-state-university-of-louisiana,Northwestern State University of Louisiana,1270
mount-aloysius-college,Mount Aloysius College,1271
columbia-college-chicago,Columbia College Chicago,1272
colorado-christian-university,Colorado Christian University,1273
alderson-broaddus-college,Alderson Broaddus University,1274
morgan-state-university,Morgan State University,1275
delta-state-university,Delta State University,1276
university-of-alaska-southeast,University of Alaska Southeast,1277
everglades-university,Everglades University,1278
cuny-york-college,CUNY York College,1279
mississippi-university-for-women,Mississippi University for Women,1280
herzing-university-minneapolis,Herzing University - Minneapolis,1281
university-of-maryland-eastern-shore,University of Maryland Eastern Shore,1282
midwestern-baptist-theological-seminary,Midwestern Baptist Theological Seminary,1283
austin-peay-state-university,Austin Peay State University,1284
free-will-baptist-bible-college,Welch College,1285
